date,close,high,low,ma10,ma20,ma5,open,p_change,price_change,turnover,v_ma10,v_ma20,v_ma5,volume
2017-04-24,6.51,6.72,6.46,7.197,7.603,6.794,6.72,-2.98,-0.2,1.37,70178.86,74842.86,67247.71,61463.51
2017-04-25,6.59,6.7,6.53,7.079,7.518,6.696,6.57,1.23,0.08,1.33,66399.7,73949.06,65605.85,59603.44
2017-04-26,6.7,6.75,6.6,6.971,7.438,6.66,6.6,1.67,0.11,1.13,65594.05,72431.43,58879.37,50809.45
2017-04-27,6.97,7.03,6.62,6.896,7.376,6.696,6.71,4.03,0.27,1.92,69024.23,70912.44,62076.81,85962.21
2017-04-28,6.9,7.03,6.87,6.837,7.319,6.734,6.99,-1.0,-0.07,1.61,68319.93,69067.22,66007.93,72201.05
2017-05-02,7.59,7.59,7.03,6.872,7.308,6.95,7.05,10.0,0.69,4.92,82496.69,74778.23,97745.66,220152.14
2017-05-03,7.88,8.18,7.65,6.952,7.31,7.208,7.87,3.82,0.29,12.46,131523.95,99012.26,197442.05,558085.38
2017-05-04,7.83,7.97,7.5,7.047,7.304,7.434,7.72,-0.64,-0.05,6.58,152563.07,110924.48,246246.78,294833.12
2017-05-05,7.45,7.75,7.43,7.113,7.278,7.53,7.73,-4.85,-0.38,4.27,164680.37,117924.4,267283.93,191147.98
2017-05-08,7.87,7.94,7.3,7.229,7.276,7.724,7.45,5.64,0.42,5.86,185664.05,128099.08,305320.17,262382.25
2017-05-09,7.76,7.83,7.57,7.354,7.276,7.758,7.8,-1.4,-0.11,3.61,195680.42,132929.64,293615.18,161627.19
2017-05-10,7.84,8.04,7.65,7.479,7.279,7.75,7.75,1.03,0.08,6.96,220908.36,143654.03,244374.66,311882.78
2017-05-11,7.44,7.87,7.07,7.553,7.262,7.672,7.69,-5.1,-0.4,7.27,248368.32,156981.18,250489.86,325409.12
2017-05-12,7.92,7.97,7.26,7.648,7.272,7.766,7.44,6.45,0.48,7.88,275073.77,172049.0,282863.61,353016.69
2017-05-15,7.99,8.4,7.8,7.757,7.297,7.79,7.88,0.88,0.07,10.92,316749.89,192534.91,328179.61,488962.25
2017-05-16,8.2,8.22,7.87,7.818,7.345,7.878,8.04,2.63,0.21,7.68,329134.19,205815.44,364653.2,343995.16
2017-05-17,8.08,8.14,7.96,7.838,7.395,7.926,8.11,-1.46,-0.12,5.44,297678.92,214601.43,350983.18,243532.67
2017-05-18,7.78,8.05,7.75,7.833,7.44,7.994,8.04,-3.71,-0.3,4.3,287441.29,220002.18,324392.71,192456.77
2017-05-19,7.66,7.91,7.61,7.854,7.484,7.942,7.77,-1.54,-0.12,3.28,283010.09,223845.23,283156.58,146836.05
2017-05-22,7.79,8.01,7.56,7.846,7.538,7.902,7.6,1.7,0.13,4.36,276308.71,230986.38,224437.81,195368.42
2017-05-23,7.25,7.77,7.18,7.795,7.575,7.712,7.77,-6.93,-0.54,4.49,280261.59,237971.0,195869.97,201155.94
2017-05-24,7.34,7.38,7.05,7.745,7.612,7.564,7.09,1.24,0.09,3.06,262765.09,241836.72,174547.0,136917.81
2017-05-25,7.36,7.41,7.13,7.737,7.645,7.48,7.3,0.27,0.02,2.82,242847.73,245608.03,161302.76,126235.57
2017-05-26,7.19,7.39,7.18,7.664,7.656,7.386,7.3,-2.31,-0.17,2.45,218519.3,246796.53,153882.01,109732.33
2017-05-31,7.2,7.38,7.18,7.585,7.671,7.268,7.27,0.14,0.01,2.43,180503.81,248626.85,136569.81,108807.39
2017-06-01,6.82,7.24,6.74,7.447,7.633,7.182,7.14,-5.28,-0.38,3.09,159922.45,244528.32,123974.93,138181.56
2017-06-02,6.95,7.01,6.76,7.334,7.586,7.104,6.79,1.91,0.13,2.33,145985.81,221832.37,117424.63,104166.29
2017-06-05,7.03,7.07,6.91,7.259,7.546,7.038,6.96,1.15,0.08,1.73,134492.54,210966.91,107682.33,77524.07
2017-06-06,7.08,7.09,6.96,7.201,7.528,7.016,7.02,0.71,0.05,1.75,127633.75,205321.92,101385.49,78248.16
2017-06-07,7.25,7.26,7.06,7.147,7.497,7.026,7.11,2.4,0.17,2.61,119793.65,198051.18,103017.49,116967.36
2017-06-08,7.21,7.26,7.13,7.143,7.469,7.104,7.23,-0.55,-0.04,2.2,109531.57,194896.58,95088.2,98535.12
2017-06-09,7.14,7.21,7.06,7.123,7.434,7.142,7.21,-0.97,-0.07,2.28,106028.09,184396.59,94631.55,101883.06
